Date,Price
4/19/2020,85
4/20/2020,65
4/21/2020,65
4/22/2020,65
4/23/2020,75
4/24/2020,75
4/25/2020,75
4/26/2020,75
4/27/2020,75
4/28/2020,75
4/29/2020,75
4/30/2020,75
5/1/2020,75
5/2/2020,85
5/3/2020,85
5/4/2020,85
5/5/2020,85
5/6/2020,85
5/7/2020,85
5/8/2020,85
5/9/2020,85
5/10/2020,85
5/11/2020,85
5/12/2020,85
5/13/2020,85
5/14/2020,85
5/15/2020,85
5/16/2020,85
5/17/2020,85
5/18/2020,85
5/19/2020,85
5/20/2020,85
5/21/2020,85
5/22/2020,85
5/23/2020,85
5/24/2020,85
5/25/2020,85
5/26/2020,85
5/27/2020,85
5/28/2020,85
5/29/2020,85
5/30/2020,85
5/31/2020,85
6/1/2020,70
6/2/2020,70
6/3/2020,70
6/4/2020,70
6/5/2020,70
6/6/2020,70
6/7/2020,70
6/8/2020,70
6/9/2020,70
6/10/2020,75
6/11/2020,75
6/12/2020,75
6/13/2020,75
6/14/2020,75
6/15/2020,75
6/16/2020,75
6/17/2020,75
6/18/2020,75
6/19/2020,75
6/20/2020,75
6/21/2020,75
6/22/2020,75
6/23/2020,75
6/24/2020,75
6/25/2020,75
6/26/2020,75
6/27/2020,75
6/28/2020,75
6/29/2020,75
6/30/2020,75
7/1/2020,75
7/2/2020,75
7/3/2020,75
7/4/2020,75
7/5/2020,75
7/6/2020,75
7/7/2020,75
7/8/2020,75
7/9/2020,75
7/10/2020,75
7/11/2020,75
7/12/2020,75
7/13/2020,75
7/14/2020,75
7/15/2020,75
7/16/2020,75
7/17/2020,75
7/18/2020,75
7/19/2020,75
7/20/2020,75
7/21/2020,75
7/22/2020,75
7/23/2020,75
7/24/2020,75
7/25/2020,85
7/26/2020,85
7/27/2020,85
7/28/2020,85
7/29/2020,85
7/30/2020,85
7/31/2020,85
8/1/2020,85
8/2/2020,85
8/3/2020,85
8/4/2020,85
8/5/2020,85
8/6/2020,85
8/7/2020,85
8/8/2020,85
8/9/2020,85
8/10/2020,85
8/11/2020,85
8/12/2020,85
8/13/2020,85
8/14/2020,85
8/15/2020,85
8/16/2020,85
8/17/2020,85
8/18/2020,85
8/19/2020,85
8/20/2020,85
8/21/2020,90
8/22/2020,90
8/23/2020,90
8/24/2020,90
8/25/2020,90
8/26/2020,90
8/27/2020,90
8/28/2020,90
8/29/2020,90
8/30/2020,90
8/31/2020,90
9/1/2020,90
9/2/2020,90
9/3/2020,90
9/4/2020,90
9/5/2020,90
9/6/2020,90
9/7/2020,90
9/8/2020,90
9/9/2020,90
9/10/2020,90
9/11/2020,90
9/12/2020,90
9/13/2020,90
9/14/2020,90
9/15/2020,90
9/16/2020,90
9/17/2020,90
9/18/2020,90
9/19/2020,90
9/20/2020,90
9/21/2020,90
9/22/2020,90
9/23/2020,90
9/24/2020,90
9/25/2020,90
9/26/2020,90
9/27/2020,90
9/28/2020,90
9/29/2020,90
9/30/2020,90
10/1/2020,90
10/2/2020,90
10/3/2020,90
10/4/2020,90
10/5/2020,90
10/6/2020,90
10/7/2020,95
10/8/2020,95
10/9/2020,95
10/10/2020,95
10/11/2020,95
10/12/2020,95
10/13/2020,95
10/14/2020,95
10/15/2020,95
10/16/2020,95
10/17/2020,95
10/18/2020,95
10/19/2020,95
10/20/2020,95
10/21/2020,95
10/22/2020,95
10/23/2020,95
10/24/2020,95
10/25/2020,95
10/26/2020,95
10/27/2020,95
10/28/2020,95
10/29/2020,95
10/30/2020,95
10/31/2020,110
11/1/2020,110
11/2/2020,110
11/3/2020,110
11/4/2020,110
11/5/2020,110
11/6/2020,110
11/7/2020,110
11/8/2020,110
11/9/2020,110
11/10/2020,85
11/11/2020,85
11/12/2020,85
11/13/2020,85
11/14/2020,85
11/15/2020,85
11/16/2020,85
11/17/2020,85
11/18/2020,95
11/19/2020,95
11/20/2020,95
11/21/2020,95
11/22/2020,90
11/23/2020,90
11/24/2020,90
11/25/2020,90
11/26/2020,90
11/27/2020,90
11/28/2020,95
11/29/2020,95
11/30/2020,95
12/1/2020,95
12/2/2020,95
12/3/2020,95
12/4/2020,95
12/5/2020,90
12/6/2020,90
12/7/2020,90
12/8/2020,90
12/9/2020,90
12/10/2020,90
12/11/2020,110
12/12/2020,110
12/13/2020,110
12/14/2020,110
12/15/2020,110
12/16/2020,110
12/17/2020,110
12/18/2020,115
12/19/2020,115
12/20/2020,115
12/21/2020,110
12/22/2020,110
12/23/2020,110
12/24/2020,110
12/25/2020,110
12/26/2020,110
12/27/2020,110
12/28/2020,110
12/29/2020,130
12/30/2020,130
12/31/2020,130
1/1/2021,130
1/2/2021,130
1/3/2021,130
1/4/2021,130
1/5/2021,130
1/6/2021,130
1/7/2021,130
1/8/2021,130
1/9/2021,130
1/10/2021,130
1/11/2021,130
1/12/2021,120
1/13/2021,120
1/14/2021,120
1/15/2021,120
1/16/2021,120
1/17/2021,120
1/18/2021,110
1/19/2021,110
1/20/2021,110
1/21/2021,110
1/22/2021,110
1/23/2021,110
1/24/2021,110
1/25/2021,110
1/26/2021,110
1/27/2021,110
1/28/2021,120
1/29/2021,120
1/30/2021,120
1/31/2021,120
2/1/2021,120
2/2/2021,120
2/3/2021,110
2/4/2021,110
2/5/2021,110
2/6/2021,110
2/7/2021,110
2/8/2021,110
2/9/2021,110
2/10/2021,110
2/11/2021,130
2/12/2021,130
2/13/2021,130
2/14/2021,130
2/15/2021,130
2/16/2021,130
2/17/2021,130
2/18/2021,130
2/19/2021,130
2/20/2021,130
2/21/2021,130
2/22/2021,150
2/23/2021,150
2/24/2021,150
2/25/2021,150
2/26/2021,150
2/27/2021,150
2/28/2021,150
3/1/2021,150
3/2/2021,150
3/3/2021,150
3/4/2021,150
3/5/2021,150
3/6/2021,140
3/7/2021,140
3/8/2021,140
3/9/2021,140
3/10/2021,140
3/11/2021,140
3/12/2021,140
3/13/2021,140
3/14/2021,180
3/15/2021,180
3/16/2021,180
3/17/2021,180
3/18/2021,180
3/19/2021,180
3/20/2021,180
3/21/2021,180
3/22/2021,180
3/23/2021,180
3/24/2021,180
3/25/2021,100
3/26/2021,100
3/27/2021,100
3/28/2021,100
3/29/2021,100
3/30/2021,50
3/31/2021,50
4/1/2021,50
4/2/2021,50
4/3/2021,50
4/4/2021,50
4/5/2021,50
4/6/2021,50
4/7/2021,50
4/8/2021,85
4/9/2021,85
4/10/2021,85
4/11/2021,85
4/12/2021,85
4/13/2021,85
4/14/2021,85
4/15/2021,85
4/16/2021,85
4/17/2021,85
4/18/2021,85
4/19/2021,85
4/20/2021,85
4/21/2021,75
4/22/2021,75
4/23/2021,75
4/24/2021,75
4/25/2021,75
4/26/2021,75
4/27/2021,70
4/28/2021,70
4/29/2021,70
4/30/2021,65
5/1/2021,65
5/2/2021,65
5/3/2021,65
5/4/2021,65
5/5/2021,65
5/6/2021,65
5/7/2021,40
5/8/2021,40
5/9/2021,40
5/10/2021,40
5/11/2021,45
5/12/2021,45
5/13/2021,45
5/14/2021,45
5/15/2021,45
5/16/2021,45
5/17/2021,45
5/18/2021,45
5/19/2021,45
5/20/2021,45
5/21/2021,45
5/22/2021,45
5/23/2021,45
5/24/2021,45
5/25/2021,45
5/26/2021,45
5/27/2021,45
5/28/2021,45
5/29/2021,45
5/30/2021,45
5/31/2021,45
6/1/2021,45
6/2/2021,45
6/3/2021,40
6/4/2021,40
6/5/2021,40
6/6/2021,40
6/7/2021,40
6/8/2021,40
6/9/2021,40
6/10/2021,40
6/11/2021,40
6/12/2021,40
6/13/2021,40
6/14/2021,50
6/15/2021,50
6/16/2021,50
6/17/2021,50
6/18/2021,50
6/19/2021,50
6/20/2021,50
6/21/2021,50
6/22/2021,50
6/23/2021,50
6/24/2021,45
6/25/2021,45
6/26/2021,45
6/27/2021,50
6/28/2021,50
6/29/2021,50
6/30/2021,50
7/1/2021,50
7/2/2021,50
7/3/2021,50
7/4/2021,50
7/5/2021,50
7/6/2021,50
7/7/2021,50
7/8/2021,65
7/9/2021,65
7/10/2021,65
7/11/2021,65
7/12/2021,65
7/13/2021,65
7/14/2021,65
7/15/2021,65
7/16/2021,75
7/17/2021,75
7/18/2021,75
7/19/2021,75
7/20/2021,75
7/21/2021,70
7/22/2021,70
7/23/2021,70
7/24/2021,70
7/25/2021,70
7/26/2021,70
7/27/2021,70
7/28/2021,75
7/29/2021,75
7/30/2021,75
7/31/2021,75
8/1/2021,70
8/2/2021,70
8/3/2021,75
8/4/2021,75
8/5/2021,75
8/6/2021,75
8/7/2021,75
8/8/2021,75
8/9/2021,65
8/10/2021,65
8/11/2021,65
8/12/2021,65
8/13/2021,65
8/14/2021,65
8/15/2021,65
8/16/2021,60
8/17/2021,60
8/18/2021,60
8/19/2021,60
8/20/2021,60
8/21/2021,60
8/22/2021,60
8/23/2021,60
8/24/2021,60
8/25/2021,60
8/26/2021,55
8/27/2021,55
8/28/2021,55
8/29/2021,55
8/30/2021,55
8/31/2021,55
9/1/2021,55
9/2/2021,65
9/3/2021,110
9/4/2021,110
9/5/2021,110
9/6/2021,110
9/7/2021,110
9/8/2021,110
9/9/2021,110
9/10/2021,110
9/11/2021,110
9/12/2021,110
9/13/2021,110
9/14/2021,110
9/15/2021,110
9/16/2021,110
9/17/2021,150
9/18/2021,150
9/19/2021,150
9/20/2021,150
9/21/2021,140
9/22/2021,140
9/23/2021,140
9/24/2021,140
9/25/2021,160
9/26/2021,160
9/27/2021,160
9/28/2021,140
9/29/2021,140
9/30/2021,140
10/1/2021,140
10/2/2021,140
10/3/2021,140
10/4/2021,140
10/5/2021,140
10/6/2021,150
10/7/2021,150
10/8/2021,150
10/9/2021,150
10/10/2021,150
10/11/2021,135
10/12/2021,135
10/13/2021,135
10/14/2021,135
10/15/2021,135
10/16/2021,135
10/17/2021,140
10/18/2021,140
10/19/2021,140
10/20/2021,140
10/21/2021,140
10/22/2021,120
10/23/2021,120
10/24/2021,120
10/25/2021,100
10/26/2021,100
10/27/2021,100
10/28/2021,100
10/29/2021,100
10/30/2021,100
10/31/2021,100
11/1/2021,100
11/2/2021,100
11/3/2021,85
11/4/2021,85
11/5/2021,70
11/6/2021,70
11/7/2021,70
11/8/2021,70
11/9/2021,70
11/10/2021,75
11/11/2021,75
11/12/2021,75
11/13/2021,75
11/14/2021,75
11/15/2021,75
11/16/2021,75
11/17/2021,75
11/18/2021,75
11/19/2021,75
11/20/2021,80
11/21/2021,80
11/22/2021,85
11/23/2021,85
11/24/2021,90
11/25/2021,90
11/26/2021,90
11/27/2021,90
11/28/2021,90
11/29/2021,90
11/30/2021,90
12/1/2021,90
12/2/2021,100
12/3/2021,100
12/4/2021,100
12/5/2021,100
12/6/2021,120
12/7/2021,120
12/8/2021,120
12/9/2021,120
12/10/2021,120
12/11/2021,120
12/12/2021,120
12/13/2021,120
12/14/2021,120
12/15/2021,120
12/16/2021,115
12/17/2021,120
12/18/2021,130
12/19/2021,130
12/20/2021,130
12/21/2021,130
12/22/2021,130
12/23/2021,130
12/24/2021,130
12/25/2021,125
12/26/2021,125
12/27/2021,125
12/28/2021,125
12/29/2021,125
12/30/2021,125
12/31/2021,130
1/1/2022,130
1/2/2022,130
1/3/2022,135
1/4/2022,135
1/5/2022,135
1/6/2022,135
1/7/2022,135
1/8/2022,135
1/9/2022,150
1/10/2022,150
1/11/2022,150
1/12/2022,150
1/13/2022,150
1/14/2022,150
1/15/2022,140
1/16/2022,140
1/17/2022,140
1/18/2022,140
1/19/2022,140
1/20/2022,150
1/21/2022,150
1/22/2022,150
1/23/2022,150
1/24/2022,150
1/25/2022,150
1/26/2022,150
1/27/2022,130
1/28/2022,130
1/29/2022,130
1/30/2022,130
1/31/2022,130
2/1/2022,130
2/2/2022,130
2/3/2022,130
2/4/2022,130
2/5/2022,130
2/6/2022,130
2/7/2022,130
2/8/2022,130
2/9/2022,130
2/10/2022,130
2/11/2022,130
2/12/2022,135
2/13/2022,135
2/14/2022,135
2/15/2022,135
2/16/2022,150
2/17/2022,150
2/18/2022,150
2/19/2022,150
2/20/2022,150
2/21/2022,150
2/22/2022,150
2/23/2022,150
2/24/2022,150
2/25/2022,160
2/26/2022,160
2/27/2022,160
2/28/2022,160
3/1/2022,160
3/2/2022,160
3/3/2022,160
3/4/2022,160
3/5/2022,160
3/6/2022,160
3/7/2022,170
3/8/2022,170
3/9/2022,170
3/10/2022,170
3/11/2022,170
3/12/2022,190
3/13/2022,190
3/14/2022,190
3/15/2022,220
3/16/2022,220
3/17/2022,200
3/18/2022,200
3/19/2022,200
3/20/2022,200
3/21/2022,200
3/22/2022,200
3/23/2022,200
3/24/2022,200
3/25/2022,235
3/26/2022,235
3/27/2022,235
3/28/2022,235
3/29/2022,235
3/30/2022,200
3/31/2022,200
4/1/2022,200
4/2/2022,135
4/3/2022,135
4/4/2022,135
4/5/2022,135
4/6/2022,135
4/7/2022,135
4/8/2022,135
4/9/2022,125
4/10/2022,125
4/11/2022,125
4/12/2022,125
4/13/2022,125
4/14/2022,125
4/15/2022,120
4/16/2022,120
4/17/2022,120
4/18/2022,120
4/19/2022,120
4/20/2022,120
4/21/2022,120
4/22/2022,120
4/23/2022,120
4/24/2022,120
4/25/2022,120
4/26/2022,120
4/27/2022,120
4/28/2022,120
4/29/2022,120
4/30/2022,120
